TEAM_ID,SEASON,W,W_PCT
1610612754,1997-98,58.0,0.707
1610612746,1997-98,17.0,0.207
1610612747,1997-98,61.0,0.744
1610612748,1997-98,55.0,0.671
1610612749,1997-98,36.0,0.439
1610612750,1997-98,45.0,0.549
1610612751,1997-98,43.0,0.524
1610612752,1997-98,43.0,0.524
1610612753,1997-98,41.0,0.5
1610612755,1997-98,31.0,0.378
1610612756,1997-98,56.0,0.683
1610612757,1997-98,46.0,0.561
1610612758,1997-98,27.0,0.329
1610612759,1997-98,56.0,0.683
1610612760,1997-98,61.0,0.744
1610612761,1997-98,16.0,0.195
1610612762,1997-98,62.0,0.756
1610612763,1997-98,19.0,0.232
1610612764,1997-98,42.0,0.512
1610612737,1998-99,31.0,0.62
1610612738,1998-99,19.0,0.38
1610612766,1998-99,26.0,0.52
1610612741,1998-99,13.0,0.26
1610612739,1998-99,22.0,0.44
1610612742,1998-99,19.0,0.38
1610612743,1998-99,14.0,0.28
1610612765,1998-99,29.0,0.58
1610612744,1998-99,21.0,0.42
1610612745,1998-99,31.0,0.62
1610612754,1998-99,33.0,0.66
1610612746,1998-99,9.0,0.18
1610612747,1998-99,31.0,0.62
1610612748,1998-99,33.0,0.66
1610612749,1998-99,28.0,0.56
1610612750,1998-99,25.0,0.5
1610612751,1998-99,16.0,0.32
1610612752,1998-99,27.0,0.54
1610612753,1998-99,33.0,0.66
1610612755,1998-99,28.0,0.56
1610612756,1998-99,27.0,0.54
1610612757,1998-99,35.0,0.7
1610612758,1998-99,27.0,0.54
1610612759,1998-99,37.0,0.74
1610612760,1998-99,25.0,0.5
1610612761,1998-99,23.0,0.46
1610612762,1998-99,37.0,0.74
1610612763,1998-99,8.0,0.16
1610612764,1998-99,18.0,0.36
1610612737,1999-00,28.0,0.341
1610612738,1999-00,35.0,0.427
1610612766,1999-00,49.0,0.598
1610612741,1999-00,17.0,0.207
1610612739,1999-00,32.0,0.39
1610612742,1999-00,40.0,0.488
1610612743,1999-00,35.0,0.427
1610612765,1999-00,42.0,0.512
1610612744,1999-00,19.0,0.232
1610612745,1999-00,34.0,0.415
1610612754,1999-00,56.0,0.683
1610612746,1999-00,15.0,0.183
1610612747,1999-00,67.0,0.817
1610612748,1999-00,52.0,0.634
1610612749,1999-00,42.0,0.512
1610612750,1999-00,50.0,0.61
1610612751,1999-00,31.0,0.378
1610612752,1999-00,50.0,0.61
1610612753,1999-00,41.0,0.5
1610612755,1999-00,49.0,0.598
1610612756,1999-00,53.0,0.646
1610612757,1999-00,59.0,0.72
1610612758,1999-00,44.0,0.537
1610612759,1999-00,53.0,0.646
1610612760,1999-00,45.0,0.549
1610612761,1999-00,45.0,0.549
1610612762,1999-00,55.0,0.671
1610612763,1999-00,22.0,0.268
1610612764,1999-00,29.0,0.354
1610612737,2000-01,25.0,0.305
1610612738,2000-01,36.0,0.439
1610612766,2000-01,46.0,0.561
1610612741,2000-01,15.0,0.183
1610612739,2000-01,30.0,0.366
1610612742,2000-01,53.0,0.646
1610612743,2000-01,40.0,0.488
1610612765,2000-01,32.0,0.39
1610612744,2000-01,17.0,0.207
1610612745,2000-01,45.0,0.549
1610612754,2000-01,41.0,0.5
1610612746,2000-01,31.0,0.378
1610612747,2000-01,56.0,0.683
1610612748,2000-01,50.0,0.61
1610612749,2000-01,52.0,0.634
1610612750,2000-01,47.0,0.573
1610612751,2000-01,26.0,0.317
1610612752,2000-01,48.0,0.585
1610612753,2000-01,43.0,0.524
1610612755,2000-01,56.0,0.683
1610612756,2000-01,51.0,0.622
1610612757,2000-01,50.0,0.61
1610612758,2000-01,55.0,0.671
1610612759,2000-01,58.0,0.707
1610612760,2000-01,44.0,0.537
1610612761,2000-01,47.0,0.573
1610612762,2000-01,53.0,0.646
1610612763,2000-01,23.0,0.28
1610612764,2000-01,19.0,0.232
1610612737,2001-02,33.0,0.402
1610612738,2001-02,49.0,0.598
1610612766,2001-02,44.0,0.537
1610612741,2001-02,21.0,0.256
1610612739,2001-02,29.0,0.354
1610612742,2001-02,57.0,0.695
1610612743,2001-02,27.0,0.329
1610612765,2001-02,50.0,0.61
1610612744,2001-02,21.0,0.256
1610612745,2001-02,28.0,0.341
1610612754,2001-02,42.0,0.512
1610612746,2001-02,39.0,0.476
1610612747,2001-02,58.0,0.707
1610612763,2001-02,23.0,0.28
1610612748,2001-02,36.0,0.439
1610612749,2001-02,41.0,0.5
1610612750,2001-02,50.0,0.61
1610612751,2001-02,52.0,0.634
1610612752,2001-02,30.0,0.366
1610612753,2001-02,44.0,0.537
1610612755,2001-02,43.0,0.524
1610612756,2001-02,36.0,0.439
1610612757,2001-02,49.0,0.598
1610612758,2001-02,61.0,0.744
1610612759,2001-02,58.0,0.707
1610612760,2001-02,45.0,0.549
